,Station Name,Latitude,Longitude,Available Bikes
214,Windsor & 14th,49.257985,-123.083366,11
215,Prince Edward & 16th,49.256694,-123.096579,2
216,Cardero & Davie,49.285512,-123.1384,12
217,Stamps Landing,49.26893,-123.11813,10
218,Marinaside & Davie,49.273471,-123.118016,6
219,Adanac & McLean,49.277665,-123.073653,4
220,Bute & Davie,49.282055,-123.133045,1
221,Victoria & 4th,49.266725,-123.065925,7
222,Heather & 29th,49.245535,-123.120496,1
223,McNicoll & Arbutus,49.276292,-123.150592,13
224,IK Barber Learning Centre,49.267561,-123.252261,12
225,Granville Island,49.27029,-123.135025,28
226,6th & Prince Edward,49.265242,-123.095577,5
227,Broughton & Davie,49.283749,-123.136133,0
228,Adanac & Lakewood,49.27751,-123.061429,2
229,Cypress & 10th,49.262944,-123.148109,3
230,Thunderbird Parkade,49.261655,-123.241924,2
231,Burrard Station (Melville & Dunsmuir),49.285871,-123.12105,23
232,22nd & Cambie,49.251358,-123.115637,4
233,Glen & Broadway,49.262242,-123.081459,15
234,Stanley Park - Totem Poles,49.298657,-123.121176,1
235,Davie & Beach,49.287528,-123.142139,11
236,Pender & Gore,49.280284,-123.097052,4
237,Richards & Davie,49.275683,-123.124388,0
238,Pender & Commercial,49.280332,-123.070068,9
239,18th & Cambie,49.254818,-123.114785,12
240,2nd & Commercial,49.268616,-123.069908,7
241,Wesbrook Village - Berton & Shrum,49.25478,-123.23621,13
242,Chilco & Robson,49.293257,-123.138563,14
243,Keefer & Columbia,49.279342,-123.101822,7
244,Rogers Tower,49.288682,-123.11818,1
245,Woodland & Graveley,49.270684,-123.073562,1
246,Cardero & Bayshore,49.291597,-123.129158,15
247,Nelson & Denman,49.2890705989865,-123.138407369468,9
248,8th & Fraser,49.263382,-123.088837,0
249,Balaclava & 6th,49.266924,-123.173849,7
250,Cambie & Water,49.284605,-123.108662,26
251,Helmcken & Burrard,49.279938,-123.127478,6
252,Hornby & Pender,49.28602,-123.116624,12
253,7th & Heather,49.265089,-123.119425,7
254,Union & Dunlevy,49.277595,-123.09583,4
255,Richards & Helmcken,49.277141,-123.122589,2
256,Keefer & Abbott,49.279821,-123.10802,21
257,8th & Prince Edward,49.263518,-123.09568,0
