,bike_station_index,distance,restaurants,parks
21,12,254,1,0
22,12,280,1,0
23,12,285,1,0
24,12,285,1,0
25,12,321,1,0
26,12,435,1,0
27,12,435,1,0
28,12,481,1,0
29,12,485,1,0
30,12,485,1,0
31,12,485,1,0
32,12,489,1,0
33,12,490,1,0
34,12,498,1,0
35,12,442,1,0
36,12,149,1,0
0,13,453,1,0
1,13,405,1,0
2,13,433,1,0
3,13,465,1,0
4,13,160,1,0
5,13,198,0,1
6,13,244,1,0
7,13,276,0,1
8,13,361,1,0
9,13,361,1,0
10,13,361,1,0
11,13,389,1,0
12,13,434,1,0
13,13,441,1,0
14,13,448,1,0
15,13,456,1,0
16,13,464,1,0
17,13,465,1,0
18,13,467,1,0
19,13,498,1,0
20,13,107,0,1
21,13,366,1,0
22,13,366,1,0
23,13,376,1,0
24,13,390,1,0
25,13,421,1,0
26,13,483,1,0
27,13,499,1,0
0,14,202,1,0
1,14,102,1,0
2,14,245,1,0
3,14,149,1,0
4,14,302,1,0
5,14,167,1,0
6,14,243,1,0
7,14,167,1,0
8,14,292,1,0
9,14,187,1,0
10,14,300,1,0
11,14,451,1,0
12,14,157,1,0
13,14,287,1,0
14,14,450,1,0
15,14,422,1,0
16,14,478,1,0
17,14,409,1,0
18,14,386,1,0
19,14,339,1,0
20,14,462,1,0
21,14,250,1,0
22,14,306,1,0
23,14,391,1,0
24,14,503,1,0
25,14,303,1,0
26,14,283,1,0
27,14,367,1,0
28,14,405,1,0
29,14,443,1,0
30,14,389,1,0
31,14,302,1,0
32,14,393,1,0
33,14,105,1,0
34,14,74,1,0
35,14,121,1,0
36,14,463,1,0
37,14,488,1,0
38,14,367,1,0
39,14,453,1,0
40,14,494,1,0
41,14,158,1,0
42,14,345,1,0
43,14,439,1,0
44,14,496,1,0
45,14,468,1,0
46,14,426,1,0
47,14,210,1,0
48,14,302,1,0
49,14,378,1,0
0,15,26,1,0
1,15,21,1,0
2,15,88,1,0
3,15,147,1,0
4,15,138,1,0
5,15,168,1,0
6,15,168,1,0
7,15,334,1,0
8,15,345,1,0
9,15,196,1,0
10,15,356,1,0
11,15,320,1,0
12,15,333,1,0
13,15,308,1,0
14,15,482,1,0
15,15,435,1,0
16,15,297,1,0
17,15,316,1,0
18,15,346,1,0
19,15,170,1,0
20,15,455,1,0
21,15,375,0,1
22,15,320,1,0
23,15,364,1,0
24,15,425,1,0
25,15,392,1,0
26,15,252,1,0
27,15,460,1,0
28,15,42,1,0
29,15,442,1,0
30,15,332,1,0
31,15,301,1,0
32,15,423,1,0
33,15,346,1,0
34,15,64,1,0
35,15,419,1,0
36,15,209,1,0
37,15,37,1,0
38,15,56,1,0
39,15,93,1,0
40,15,97,1,0
41,15,398,1,0
42,15,126,1,0
43,15,172,1,0
44,15,289,1,0
45,15,301,1,0
46,15,305,1,0
47,15,305,1,0
48,15,319,1,0
49,15,324,1,0
0,16,40,1,0
1,16,374,1,0
2,16,217,1,0
3,16,305,1,0
4,16,223,1,0
5,16,446,1,0
6,16,388,1,0
7,16,399,1,0
8,16,406,1,0
9,16,379,1,0
10,16,305,1,0
11,16,328,1,0
12,16,448,1,0
13,16,405,1,0
14,16,434,1,0
15,16,442,1,0
16,16,439,1,0
17,16,407,1,0
18,16,447,1,0
19,16,319,1,0
20,16,496,1,0
21,16,471,1,0
22,16,29,1,0
23,16,395,1,0
24,16,98,1,0
25,16,114,1,0
26,16,154,1,0
27,16,184,1,0
28,16,196,1,0
29,16,212,1,0
30,16,212,1,0
31,16,212,1,0
32,16,251,1,0
33,16,253,1,0
34,16,293,1,0
35,16,489,1,0
36,16,355,1,0
37,16,373,1,0
38,16,392,1,0
39,16,398,1,0
40,16,439,1,0
41,16,442,1,0
42,16,444,1,0
43,16,460,1,0
44,16,403,1,0
45,16,489,1,0
46,16,489,1,0
47,16,496,1,0
48,16,496,1,0
49,16,436,1,0
0,17,476,1,0
1,17,499,1,0
2,17,469,1,0
3,17,469,1,0
4,17,109,1,0
5,17,466,1,0
6,17,112,1,0
7,17,225,1,0
8,17,464,1,0
9,17,420,0,1
10,17,139,1,0
11,17,85,1,0
12,17,89,1,0
13,17,93,1,0
14,17,93,1,0
15,17,94,1,0
16,17,110,1,0
17,17,126,1,0
18,17,135,1,0
19,17,158,1,0
20,17,184,1,0
21,17,184,1,0
22,17,201,0,1
23,17,203,1,0
24,17,400,1,0
25,17,406,0,1
26,17,410,0,1
27,17,434,1,0
28,17,499,1,0
29,17,124,1,0
30,17,180,1,0
0,18,21,1,0
1,18,123,1,0
2,18,233,1,0
3,18,296,1,0
4,18,82,1,0
5,18,320,1,0
6,18,197,1,0
7,18,219,1,0
8,18,326,1,0
9,18,435,1,0
10,18,324,1,0
11,18,371,1,0
12,18,454,1,0
13,18,343,1,0
14,18,318,1,0
15,18,448,1,0
16,18,359,1,0
17,18,460,1,0
18,18,344,1,0
19,18,374,0,1
20,18,474,1,0
21,18,497,1,0
22,18,394,1,0
23,18,484,1,0
24,18,210,1,0
25,18,323,1,0
26,18,366,1,0
27,18,460,1,0
28,18,304,1,0
29,18,453,1,0
30,18,401,1,0
31,18,319,1,0
32,18,392,1,0
33,18,389,1,0
34,18,490,1,0
35,18,407,1,0
36,18,85,1,0
37,18,85,1,0
38,18,85,1,0
39,18,260,1,0
40,18,144,1,0
41,18,170,1,0
42,18,356,1,0
43,18,362,0,1
44,18,380,1,0
45,18,390,1,0
46,18,396,1,0
47,18,397,1,0
48,18,418,1,0
49,18,425,1,0
0,19,80,1,0
1,19,109,1,0
2,19,369,1,0
3,19,421,1,0
4,19,456,1,0
5,19,417,1,0
6,19,321,0,1
7,19,370,1,0
8,19,426,1,0
9,19,393,1,0
10,19,402,1,0
11,19,402,1,0
12,19,370,1,0
13,19,373,1,0
14,19,420,1,0
15,19,349,1,0
16,19,450,1,0
17,19,121,1,0
18,19,134,1,0
19,19,364,1,0
20,19,393,1,0
21,19,389,1,0
22,19,348,1,0
23,19,370,1,0
24,19,373,1,0
25,19,373,1,0
26,19,385,1,0
27,19,391,0,1
28,19,393,1,0
29,19,415,1,0
30,19,418,1,0
31,19,423,1,0
32,19,426,1,0
33,19,426,1,0
34,19,427,1,0
35,19,433,1,0
36,19,462,1,0
37,19,455,1,0
38,19,460,1,0
39,19,472,1,0
