,fsq_id,distance,bike_station_index,restaurants,parks
15,4c8011ccdc018cfa0132b96c,481,5,0,1
16,921f8f1d4829488d00d07b66,492,5,1,0
17,4c4f35e5a7351b8dd89dbc92,498,5,1,0
18,4ac7e776f964a5207aba20e3,498,5,1,0
19,4a38eadc091d48de202b1a77,436,5,1,0
20,84dc77712ccd4fc92a37869f,486,5,1,0
0,4c75baefdb52b1f7c5b979dc,191,6,1,0
1,4f0f9e5ee4b0725fea69f095,185,6,1,0
2,4f60fc8be4b0a9d090a1f850,379,6,1,0
3,4e223f06d4c0d32590f80ff4,387,6,1,0
4,4aa98676f964a520105420e3,362,6,1,0
5,4ab04bfaf964a520ed6620e3,359,6,1,0
6,4ab145f3f964a520d56820e3,294,6,1,0
7,4aada5a2f964a520236120e3,301,6,1,0
8,4fd3a01be4b0540d9cb027ea,418,6,1,0
9,4aa843e0f964a5207f5020e3,335,6,1,0
10,50635880e4b0977ecd7e5e09,385,6,1,0
11,5d0302c9c0f163002ce055ae,374,6,1,0
12,4b342ac8f964a520b92525e3,479,6,1,0
13,4b2884d6f964a520c79324e3,308,6,1,0
14,4cd3115772a1a1cd3b376351,286,6,1,0
15,550b4681498e2c34aaea1a54,375,6,1,0
16,4ab2985af964a520886b20e3,457,6,1,0
17,50982adee4b0cb1b3389815d,437,6,1,0
18,59fb62fa5f68b91e73eb36c9,370,6,1,0
19,4b16d55ff964a5201dbe23e3,288,6,1,0
20,5705f978498e2fee241e3918,202,6,1,0
21,4b1b0b53f964a5200bf723e3,497,6,1,0
22,4b4458daf964a52011f425e3,309,6,1,0
23,4b0b3ae6f964a520142f23e3,475,6,1,0
24,5898f8a5af5c1411a1a2263d,468,6,1,0
25,4abee9acf964a520859020e3,441,6,1,0
26,593c332b16fa0435e42fb0d5,348,6,1,0
27,4ac25becf964a520d29820e3,176,6,1,0
28,615df8344a234f5789051f1c,197,6,1,0
29,4c880321a0ffb60c66a51ec5,369,6,1,0
30,63379a0e45a3df6999cb4d50,323,6,1,0
31,4bd0fc0377b29c747dfb8b82,327,6,1,0
32,5eee7b409087d80007289b9e,328,6,1,0
33,5aecb62e947c050039251eea,340,6,1,0
34,4b174f40f964a520bdc423e3,356,6,1,0
35,4dc0705a5da386e218c8207a,356,6,1,0
36,58f13221419a9e1e24489f12,358,6,1,0
37,4c193a046a21c9b6e33aca97,363,6,1,0
38,4ab457bff964a520f77020e3,368,6,1,0
39,4db8723b6a2334682d931f2f,369,6,1,0
40,63560d0518f2d50e9c6b4717,383,6,1,0
41,4bc62296db8fa59355d39b37,387,6,1,0
42,5b187cf04febd5002c8caa71,387,6,1,0
43,529658de11d28a5d378517ba,391,6,1,0
44,6257b0ce9552b7515f0d686a,392,6,1,0
45,4b04a6fbf964a520f35522e3,393,6,1,0
46,5ccc9af3e55d8b002c58ba30,401,6,1,0
47,6171f98555d8535cda934577,408,6,1,0
48,4c659f0de1da1b8d4abb98c3,408,6,1,0
49,4b5baceff964a5204f0f29e3,408,6,1,0
0,580a933738faca6bcaf1eba1,116,7,1,0
1,4afde409f964a520cf2b22e3,364,7,1,0
2,5810f05238faa94dbabd4542,426,7,1,0
3,56cb6b90cd100f3627d2a06a,193,7,1,0
4,53fa3410498ebfcd2a2f97d2,364,7,1,0
5,4aa9a423f964a520a65420e3,407,7,1,0
6,57a58607498e40faba10a1f6,396,7,1,0
7,4aa7d91ef964a520944d20e3,381,7,1,0
8,4b084723f964a520fe0723e3,152,7,1,0
9,4f878c5be4b0ab5c86346ad8,476,7,1,0
10,5bbd044c65211f002c4116c6,358,7,1,0
11,4ba03e6cf964a520dc6337e3,447,7,1,0
12,4aceae40f964a520aad120e3,123,7,1,0
13,505d3c21e4b06d1d2af233e4,450,7,1,0
14,4aabfb4af964a520625b20e3,379,7,1,0
15,4cba9214f50e224ba5dcf4fb,112,7,1,0
16,4fc03edae4b00dd50dfcafbd,452,7,1,0
17,4fb7ddabe4b0d5ed259e60a8,447,7,1,0
18,51f5ed31498e4473f9aaded9,77,7,1,0
19,4b85ddc2f964a520f97631e3,419,7,1,0
20,4aa75c7ff964a520c74c20e3,94,7,1,0
21,620489a5193ca25cbbbc4103,100,7,1,0
22,55ea17aa498e808c8e73be6d,101,7,1,0
23,5bb91fb1123a19002c316542,120,7,1,0
24,5b1c1cd8336273002c6cd09e,134,7,1,0
25,4b74cb3af964a52063f22de3,423,7,1,0
26,5b7a03949d74680039aa49eb,151,7,1,0
27,4f7757cbe4b06336477e722c,167,7,1,0
28,5bc26bce9e3b650039d9516c,163,7,1,0
29,4b172e2cf964a52078c323e3,167,7,1,0
30,4ac51714f964a52060a020e3,176,7,1,0
31,4bfa02404a67c9286bc827cf,183,7,1,0
