bike_station_index,distance,Available Bikes,Latitude,Longitude,restaurants,parks
113,204.57142857142858,4.0,49.261403,-123.07010200000002,47,2
114,221.96,25.0,49.262487,-123.114397,50,0
115,298.98,3.0,49.27033,-123.10275,47,3
116,336.38709677419354,9.0,49.285575,-123.061575,27,4
117,401.5416666666667,9.0,49.267266,-123.090786,22,2
118,374.74,16.0,49.26647599999999,-123.109389,48,2
119,403.48,7.0,49.238105,-123.154966,49,1
120,261.875,3.0,49.272969,-123.164325,1,7
121,328.92,3.0,49.26722199999999,-123.153157,50,0
122,233.57142857142858,17.0,49.297933,-123.130758,3,4
123,310.62,1.0,49.25842500000001,-123.100792,47,3
124,247.39583333333334,7.0,49.278529,-123.100017,46,2
125,330.0,0.0,49.261736,-123.24648,18,4
126,409.8888888888889,9.0,49.27247,-123.185643,16,2
127,321.77272727272725,7.0,49.252691,-123.101289,40,4
128,314.1,10.0,49.276436,-123.11877,49,1
129,303.7142857142857,10.0,49.271471,-123.17731,5,2
130,349.0,13.0,49.265938999999996,-123.1129,49,1
131,337.24,2.0,49.265336,-123.14582300000001,48,2
132,259.037037037037,3.0,49.25894,-123.139272,24,3
133,359.35,14.0,49.287464,-123.060771,17,3
134,390.9148936170213,15.0,49.28329800000001,-123.142288,43,4
135,258.1,12.0,49.268269000000004,-123.147885,48,2
136,253.6,0.0,49.285835999999996,-123.127265,48,2
137,301.3,1.0,49.280216,-123.117639,50,0
138,369.0,1.0,49.277469,-123.081315,30,3
139,257.24,7.0,49.263962,-123.112621,49,1
140,320.66,26.0,49.270721,-123.146175,47,3
141,316.42,1.0,49.262141,-123.10196100000002,49,1
142,324.1,2.0,49.280787000000004,-123.115271,50,0
143,287.39130434782606,8.0,49.271741,-123.15542100000002,46,0
144,317.5,5.0,49.271721,-123.104207,44,6
145,281.4,3.0,49.262598,-123.138921,47,3
146,426.14285714285717,14.0,49.256496000000006,-123.075426,3,4
147,360.06,6.0,49.249722,-123.10499099999998,48,2
